"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3jge","SQ","dsi_pob"
192,11,"hgo",13,8,18,663,1,8,9,0.22602435987
193,11,"hgo",13,8,18,1037,1,8,9,0.22602435987
194,11,"hgo",13,8,18,504,1,8,9,0.22602435987
195,11,"hgo",13,8,18,788,1,8,9,0.22602435987
196,11,"hgo",13,8,18,845,1,8,9,0.22602435987
197,11,"hgo",13,8,18,1153,1,8,9,0.22602435987
198,11,"hgo",13,8,18,209,1,8,9,0.22602435987
199,11,"hgo",13,8,18,775,1,8,9,0.22602435987
200,11,"hgo",13,8,18,1325,1,8,9,0.22602435987
201,11,"hgo",13,8,18,1417,1,8,9,0.22602435987
202,11,"hgo",13,8,18,753,1,8,9,0.22602435987
203,11,"hgo",13,8,18,2123,1,8,9,0.22602435987
204,11,"hgo",13,8,18,1953,1,8,9,0.22602435987
205,11,"hgo",13,8,18,178,1,8,9,0.22602435987
206,12,"hgo",13,6,5,2444,3,6,5,0.853391707549318
207,12,"hgo",13,6,5,1593,3,6,5,0.853391707549318
208,12,"hgo",13,6,5,2375,3,6,5,0.853391707549318
209,12,"hgo",13,6,5,2311,3,6,5,0.853391707549318
210,12,"hgo",13,6,5,993,3,6,5,0.853391707549318
211,12,"hgo",13,6,5,1849,3,6,5,0.853391707549318
212,12,"hgo",13,6,5,1114,3,6,5,0.853391707549318
213,12,"hgo",13,6,5,1047,3,6,5,0.853391707549318
214,12,"hgo",13,6,5,1971,3,6,5,0.853391707549318
215,12,"hgo",13,6,5,2133,3,6,5,0.853391707549318
216,12,"hgo",13,6,5,4757,3,6,5,0.853391707549318
217,12,"hgo",13,6,5,688,3,6,5,0.853391707549318
218,12,"hgo",13,6,5,124,3,6,5,0.853391707549318
219,12,"hgo",13,6,5,435,3,6,5,0.853391707549318
220,12,"hgo",13,6,5,841,3,6,5,0.853391707549318
221,12,"hgo",13,6,5,2197,3,6,5,0.853391707549318
222,12,"hgo",13,6,5,1670,3,6,5,0.853391707549318
223,12,"hgo",13,6,5,1392,3,6,5,0.853391707549318
224,13,"hgo",13,8,15,2766,1,8,9,0.22602435987
225,13,"hgo",13,8,15,1612,1,8,9,0.22602435987
226,13,"hgo",13,8,15,686,1,8,9,0.22602435987
227,13,"hgo",13,8,15,640,1,8,9,0.22602435987
228,13,"hgo",13,8,15,1707,1,8,9,0.22602435987
229,13,"hgo",13,8,15,647,1,8,9,0.22602435987
230,13,"hgo",13,8,15,935,1,8,9,0.22602435987
231,13,"hgo",13,8,15,561,1,8,9,0.22602435987
232,13,"hgo",13,8,15,2758,1,8,9,0.22602435987
233,13,"hgo",13,8,15,704,1,8,9,0.22602435987
234,13,"hgo",13,8,15,794,1,8,9,0.22602435987
235,13,"hgo",13,8,15,693,1,8,9,0.22602435987
236,13,"hgo",13,8,15,1295,1,8,9,0.22602435987
237,13,"hgo",13,8,15,386,1,8,9,0.22602435987
238,13,"hgo",13,8,15,678,1,8,9,0.22602435987
239,13,"hgo",13,8,15,91,1,8,9,0.22602435987
240,14,"hgo",13,18,16,1298,18,18,16,0.742729497641092
241,14,"hgo",13,18,16,1321,18,18,16,0.742729497641092
242,14,"hgo",13,18,16,478,18,18,16,0.742729497641092
243,14,"hgo",13,18,16,720,18,18,16,0.742729497641092
244,14,"hgo",13,18,16,335,18,18,16,0.742729497641092
245,14,"hgo",13,18,16,1444,18,18,16,0.742729497641092
246,14,"hgo",13,18,16,1645,18,18,16,0.742729497641092
247,14,"hgo",13,18,16,686,18,18,16,0.742729497641092
248,14,"hgo",13,18,16,620,18,18,16,0.742729497641092
249,14,"hgo",13,18,16,1690,18,18,16,0.742729497641092
250,14,"hgo",13,18,16,2847,18,18,16,0.742729497641092
251,14,"hgo",13,18,16,475,18,18,16,0.742729497641092
252,14,"hgo",13,18,16,1256,18,18,16,0.742729497641092
253,14,"hgo",13,18,16,681,18,18,16,0.742729497641092
254,14,"hgo",13,18,16,238,18,18,16,0.742729497641092
255,14,"hgo",13,18,16,1594,18,18,16,0.742729497641092
256,14,"hgo",13,18,16,1253,18,18,16,0.742729497641092
257,15,"hgo",13,10,3,4495,5,10,11,0.303233084403132
258,15,"hgo",13,10,3,3252,5,10,11,0.303233084403132
259,15,"hgo",13,10,3,1554,5,10,11,0.303233084403132
260,15,"hgo",13,10,3,1077,5,10,11,0.303233084403132
261,15,"hgo",13,10,3,1797,5,10,11,0.303233084403132
262,15,"hgo",13,10,3,2880,5,10,11,0.303233084403132
263,15,"hgo",13,10,3,580,5,10,11,0.303233084403132
264,15,"hgo",13,10,3,5563,5,10,11,0.303233084403132
265,15,"hgo",13,10,3,2935,5,10,11,0.303233084403132
266,15,"hgo",13,10,3,1385,5,10,11,0.303233084403132
267,15,"hgo",13,10,3,612,5,10,11,0.303233084403132
268,15,"hgo",13,10,3,841,5,10,11,0.303233084403132
269,15,"hgo",13,10,3,4098,5,10,11,0.303233084403132
270,15,"hgo",13,10,3,1693,5,10,11,0.303233084403132
271,15,"hgo",13,10,3,4943,5,10,11,0.303233084403132
272,15,"hgo",13,10,3,990,5,10,11,0.303233084403132
273,15,"hgo",13,10,3,4055,5,10,11,0.303233084403132
274,15,"hgo",13,10,3,3697,5,10,11,0.303233084403132
275,15,"hgo",13,10,3,903,5,10,11,0.303233084403132
276,15,"hgo",13,10,3,972,5,10,11,0.303233084403132
277,15,"hgo",13,10,3,894,5,10,11,0.303233084403132
278,15,"hgo",13,10,3,913,5,10,11,0.303233084403132
279,15,"hgo",13,10,3,738,5,10,11,0.303233084403132
280,15,"hgo",13,10,3,753,5,10,11,0.303233084403132
281,16,"hgo",13,4,6,1342,6,4,6,0.700472298978972
282,16,"hgo",13,4,6,1695,6,4,6,0.700472298978972
283,16,"hgo",13,4,6,810,6,4,6,0.700472298978972
284,16,"hgo",13,4,6,695,6,4,6,0.700472298978972
285,16,"hgo",13,4,6,1272,6,4,6,0.700472298978972
286,16,"hgo",13,4,6,1663,6,4,6,0.700472298978972
287,16,"hgo",13,4,6,742,6,4,6,0.700472298978972
288,16,"hgo",13,4,6,1472,6,4,6,0.700472298978972
289,16,"hgo",13,4,6,1825,6,4,6,0.700472298978972
290,16,"hgo",13,4,6,965,6,4,6,0.700472298978972
291,17,"hgo",13,9,17,2668,11,9,17,0.433162932347183
292,17,"hgo",13,9,17,2048,11,9,17,0.433162932347183
293,17,"hgo",13,9,17,587,11,9,17,0.433162932347183
294,17,"hgo",13,9,17,823,11,9,17,0.433162932347183
295,17,"hgo",13,9,17,470,11,9,17,0.433162932347183
296,17,"hgo",13,9,17,777,11,9,17,0.433162932347183
297,17,"hgo",13,9,17,1041,11,9,17,0.433162932347183
298,17,"hgo",13,9,17,842,11,9,17,0.433162932347183
299,17,"hgo",13,9,17,270,11,9,17,0.433162932347183
300,17,"hgo",13,9,17,405,11,9,17,0.433162932347183
301,17,"hgo",13,9,17,510,11,9,17,0.433162932347183
302,17,"hgo",13,9,17,846,11,9,17,0.433162932347183
303,17,"hgo",13,9,17,346,11,9,17,0.433162932347183
304,17,"hgo",13,9,17,821,11,9,17,0.433162932347183
305,17,"hgo",13,9,17,733,11,9,17,0.433162932347183
306,17,"hgo",13,9,17,364,11,9,17,0.433162932347183
307,17,"hgo",13,9,17,874,11,9,17,0.433162932347183
308,17,"hgo",13,9,17,823,11,9,17,0.433162932347183
309,17,"hgo",13,9,17,1749,11,9,17,0.433162932347183
310,17,"hgo",13,9,17,989,11,9,17,0.433162932347183
311,17,"hgo",13,9,17,1032,11,9,17,0.433162932347183
312,17,"hgo",13,9,17,1254,11,9,17,0.433162932347183
313,17,"hgo",13,9,17,341,11,9,17,0.433162932347183
314,17,"hgo",13,9,17,519,11,9,17,0.433162932347183
315,17,"hgo",13,9,17,1200,11,9,17,0.433162932347183
316,18,"hgo",13,18,16,2566,18,18,16,0.742729497641092
317,18,"hgo",13,18,16,1032,18,18,16,0.742729497641092
318,18,"hgo",13,18,16,863,18,18,16,0.742729497641092
319,18,"hgo",13,18,16,722,18,18,16,0.742729497641092
320,18,"hgo",13,18,16,629,18,18,16,0.742729497641092
321,18,"hgo",13,18,16,1032,18,18,16,0.742729497641092
322,18,"hgo",13,18,16,1263,18,18,16,0.742729497641092
323,18,"hgo",13,18,16,1444,18,18,16,0.742729497641092
324,18,"hgo",13,18,16,1187,18,18,16,0.742729497641092
325,18,"hgo",13,18,16,352,18,18,16,0.742729497641092
326,18,"hgo",13,18,16,235,18,18,16,0.742729497641092
327,18,"hgo",13,18,16,1687,18,18,16,0.742729497641092
328,18,"hgo",13,18,16,1812,18,18,16,0.742729497641092
329,18,"hgo",13,18,16,2410,18,18,16,0.742729497641092
330,18,"hgo",13,18,16,216,18,18,16,0.742729497641092
331,19,"hgo",13,2,14,3000,2,2,14,0.605985157862381
332,19,"hgo",13,2,14,1176,2,2,14,0.605985157862381
333,19,"hgo",13,2,14,898,2,2,14,0.605985157862381
334,19,"hgo",13,2,14,527,2,2,14,0.605985157862381
335,19,"hgo",13,2,14,1036,2,2,14,0.605985157862381
336,19,"hgo",13,2,14,2533,2,2,14,0.605985157862381
337,19,"hgo",13,2,14,641,2,2,14,0.605985157862381
338,19,"hgo",13,2,14,836,2,2,14,0.605985157862381
339,19,"hgo",13,2,14,304,2,2,14,0.605985157862381
340,19,"hgo",13,2,14,4240,2,2,14,0.605985157862381
341,19,"hgo",13,2,14,1630,2,2,14,0.605985157862381
342,20,"hgo",13,8,9,623,1,8,9,0.22602435987
343,20,"hgo",13,8,9,140,1,8,9,0.22602435987
344,20,"hgo",13,8,9,82,1,8,9,0.22602435987
345,20,"hgo",13,8,9,1069,1,8,9,0.22602435987
346,20,"hgo",13,8,9,273,1,8,9,0.22602435987
347,20,"hgo",13,8,9,106,1,8,9,0.22602435987
348,20,"hgo",13,8,9,228,1,8,9,0.22602435987
349,20,"hgo",13,8,9,212,1,8,9,0.22602435987
350,21,"hgo",13,10,11,838,5,10,11,0.303233084403132
351,21,"hgo",13,10,11,2070,5,10,11,0.303233084403132
352,21,"hgo",13,10,11,2512,5,10,11,0.303233084403132
353,21,"hgo",13,10,11,1145,5,10,11,0.303233084403132
354,21,"hgo",13,10,11,2179,5,10,11,0.303233084403132
355,21,"hgo",13,10,11,1571,5,10,11,0.303233084403132
356,21,"hgo",13,10,11,1265,5,10,11,0.303233084403132
357,21,"hgo",13,10,11,1778,5,10,11,0.303233084403132
358,22,"hgo",13,12,2,1723,7,12,2,0.463856353164019
359,22,"hgo",13,12,2,1588,7,12,2,0.463856353164019
360,22,"hgo",13,12,2,1062,7,12,2,0.463856353164019
361,22,"hgo",13,12,2,915,7,12,2,0.463856353164019
362,22,"hgo",13,12,2,689,7,12,2,0.463856353164019
363,22,"hgo",13,12,2,2473,7,12,2,0.463856353164019
364,22,"hgo",13,12,2,319,7,12,2,0.463856353164019
365,22,"hgo",13,12,2,347,7,12,2,0.463856353164019
366,22,"hgo",13,12,2,134,7,12,2,0.463856353164019
367,22,"hgo",13,12,2,1052,7,12,2,0.463856353164019
368,22,"hgo",13,12,2,2252,7,12,2,0.463856353164019
369,23,"hgo",13,2,14,3077,9,2,14,0.605985157862381
370,23,"hgo",13,2,14,1683,9,2,14,0.605985157862381
371,23,"hgo",13,2,14,2951,9,2,14,0.605985157862381
372,23,"hgo",13,2,14,1213,9,2,14,0.605985157862381
373,23,"hgo",13,2,14,1808,9,2,14,0.605985157862381
374,23,"hgo",13,2,14,2152,9,2,14,0.605985157862381
375,23,"hgo",13,2,14,1677,9,2,14,0.605985157862381
376,23,"hgo",13,2,14,921,9,2,14,0.605985157862381
377,23,"hgo",13,2,14,1005,9,2,14,0.605985157862381
378,23,"hgo",13,2,14,2391,9,2,14,0.605985157862381
379,23,"hgo",13,2,14,2761,9,2,14,0.605985157862381
380,23,"hgo",13,2,14,991,9,2,14,0.605985157862381
381,23,"hgo",13,2,14,1756,9,2,14,0.605985157862381
382,23,"hgo",13,2,14,1551,9,2,14,0.605985157862381
383,23,"hgo",13,2,14,2732,9,2,14,0.605985157862381
384,23,"hgo",13,2,14,2989,9,2,14,0.605985157862381
385,23,"hgo",13,2,14,3016,9,2,14,0.605985157862381
386,24,"hgo",13,1,18,1071,8,1,10,0.442706274669176
387,24,"hgo",13,1,18,1149,8,1,10,0.442706274669176
388,24,"hgo",13,1,18,425,8,1,10,0.442706274669176
389,24,"hgo",13,1,18,427,8,1,10,0.442706274669176
390,24,"hgo",13,1,18,186,8,1,10,0.442706274669176
391,24,"hgo",13,1,18,813,8,1,10,0.442706274669176
392,24,"hgo",13,1,18,1174,8,1,10,0.442706274669176
393,24,"hgo",13,1,18,452,8,1,10,0.442706274669176
394,24,"hgo",13,1,18,407,8,1,10,0.442706274669176
395,24,"hgo",13,1,18,256,8,1,10,0.442706274669176
396,24,"hgo",13,1,18,1571,8,1,10,0.442706274669176
397,24,"hgo",13,1,18,1199,8,1,10,0.442706274669176
398,24,"hgo",13,1,18,1071,8,1,10,0.442706274669176
399,24,"hgo",13,1,18,2045,8,1,10,0.442706274669176
400,24,"hgo",13,1,18,2053,8,1,10,0.442706274669176
401,24,"hgo",13,1,18,424,8,1,10,0.442706274669176
402,24,"hgo",13,1,18,748,8,1,10,0.442706274669176
403,24,"hgo",13,1,18,1205,8,1,10,0.442706274669176
404,24,"hgo",13,1,18,306,8,1,10,0.442706274669176
405,25,"hgo",13,11,13,1969,17,11,13,0.608036536091481
406,25,"hgo",13,11,13,1652,17,11,13,0.608036536091481
407,25,"hgo",13,11,13,523,17,11,13,0.608036536091481
408,25,"hgo",13,11,13,639,17,11,13,0.608036536091481
409,25,"hgo",13,11,13,795,17,11,13,0.608036536091481
410,25,"hgo",13,11,13,435,17,11,13,0.608036536091481
411,25,"hgo",13,11,13,641,17,11,13,0.608036536091481
412,25,"hgo",13,11,13,539,17,11,13,0.608036536091481
413,25,"hgo",13,11,13,886,17,11,13,0.608036536091481
414,25,"hgo",13,11,13,743,17,11,13,0.608036536091481
415,25,"hgo",13,11,13,857,17,11,13,0.608036536091481
416,25,"hgo",13,11,13,751,17,11,13,0.608036536091481
417,25,"hgo",13,11,13,1913,17,11,13,0.608036536091481
418,25,"hgo",13,11,13,488,17,11,13,0.608036536091481
419,25,"hgo",13,11,13,1467,17,11,13,0.608036536091481
420,25,"hgo",13,11,13,364,17,11,13,0.608036536091481
421,25,"hgo",13,11,13,394,17,11,13,0.608036536091481
422,25,"hgo",13,11,13,1237,17,11,13,0.608036536091481
423,25,"hgo",13,11,13,253,17,11,13,0.608036536091481
424,25,"hgo",13,11,13,700,17,11,13,0.608036536091481
425,25,"hgo",13,11,13,862,17,11,13,0.608036536091481
426,25,"hgo",13,11,13,680,17,11,13,0.608036536091481
427,25,"hgo",13,11,13,335,17,11,13,0.608036536091481
428,25,"hgo",13,11,13,914,17,11,13,0.608036536091481
429,25,"hgo",13,11,13,1333,17,11,13,0.608036536091481
430,25,"hgo",13,11,13,718,17,11,13,0.608036536091481
431,26,"hgo",13,7,15,1681,16,7,13,0.327451216770549
432,26,"hgo",13,7,15,946,16,7,13,0.327451216770549
433,26,"hgo",13,7,15,1991,16,7,13,0.327451216770549
434,26,"hgo",13,7,15,2845,16,7,13,0.327451216770549
435,26,"hgo",13,7,15,1863,16,7,13,0.327451216770549
436,26,"hgo",13,7,15,509,16,7,13,0.327451216770549
437,26,"hgo",13,7,15,844,16,7,13,0.327451216770549
438,26,"hgo",13,7,15,991,16,7,13,0.327451216770549
439,26,"hgo",13,7,15,744,16,7,13,0.327451216770549
440,26,"hgo",13,7,15,995,16,7,13,0.327451216770549
441,27,"hgo",13,1,10,4240,8,1,10,0.442706274669176
442,27,"hgo",13,1,10,417,8,1,10,0.442706274669176
