"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3jge","SQ","dsi_pob"
1,1,"hgo",13,1,18,1422,8,1,10,0.442706274669176
2,1,"hgo",13,1,18,1024,8,1,10,0.442706274669176
3,1,"hgo",13,1,18,343,8,1,10,0.442706274669176
4,1,"hgo",13,1,18,574,8,1,10,0.442706274669176
5,1,"hgo",13,1,18,1150,8,1,10,0.442706274669176
6,1,"hgo",13,1,18,1283,8,1,10,0.442706274669176
7,1,"hgo",13,1,18,1430,8,1,10,0.442706274669176
8,1,"hgo",13,1,18,2636,8,1,10,0.442706274669176
9,1,"hgo",13,1,18,3120,8,1,10,0.442706274669176
10,1,"hgo",13,1,18,2872,8,1,10,0.442706274669176
11,1,"hgo",13,1,18,3285,8,1,10,0.442706274669176
12,1,"hgo",13,1,18,580,8,1,10,0.442706274669176
13,2,"hgo",13,10,10,2833,8,10,11,0.303233084403132
14,2,"hgo",13,10,10,2309,8,10,11,0.303233084403132
15,2,"hgo",13,10,10,651,8,10,11,0.303233084403132
16,2,"hgo",13,10,10,843,8,10,11,0.303233084403132
17,2,"hgo",13,10,10,1573,8,10,11,0.303233084403132
18,2,"hgo",13,10,10,262,8,10,11,0.303233084403132
19,2,"hgo",13,10,10,2009,8,10,11,0.303233084403132
20,2,"hgo",13,10,10,2038,8,10,11,0.303233084403132
21,2,"hgo",13,10,10,3432,8,10,11,0.303233084403132
22,2,"hgo",13,10,10,407,8,10,11,0.303233084403132
23,2,"hgo",13,10,10,2982,8,10,11,0.303233084403132
24,2,"hgo",13,10,10,2751,8,10,11,0.303233084403132
25,2,"hgo",13,10,10,1534,8,10,11,0.303233084403132
26,2,"hgo",13,10,10,510,8,10,11,0.303233084403132
27,2,"hgo",13,10,10,4432,8,10,11,0.303233084403132
28,2,"hgo",13,10,10,1512,8,10,11,0.303233084403132
29,2,"hgo",13,10,10,1962,8,10,11,0.303233084403132
30,2,"hgo",13,10,10,4171,8,10,11,0.303233084403132
31,2,"hgo",13,10,10,1388,8,10,11,0.303233084403132
32,2,"hgo",13,10,10,1557,8,10,11,0.303233084403132
33,2,"hgo",13,10,10,1625,8,10,11,0.303233084403132
34,3,"hgo",13,2,14,5385,2,2,14,0.605985157862381
35,3,"hgo",13,2,14,2086,2,2,14,0.605985157862381
36,3,"hgo",13,2,14,1618,2,2,14,0.605985157862381
37,3,"hgo",13,2,14,1692,2,2,14,0.605985157862381
38,3,"hgo",13,2,14,1526,2,2,14,0.605985157862381
39,3,"hgo",13,2,14,1502,2,2,14,0.605985157862381
40,3,"hgo",13,2,14,2211,2,2,14,0.605985157862381
41,3,"hgo",13,2,14,1968,2,2,14,0.605985157862381
42,3,"hgo",13,2,14,900,2,2,14,0.605985157862381
43,3,"hgo",13,2,14,1086,2,2,14,0.605985157862381
44,3,"hgo",13,2,14,1596,2,2,14,0.605985157862381
45,3,"hgo",13,2,14,1276,2,2,14,0.605985157862381
46,3,"hgo",13,2,14,1798,2,2,14,0.605985157862381
47,3,"hgo",13,2,14,1203,2,2,14,0.605985157862381
48,3,"hgo",13,2,14,224,2,2,14,0.605985157862381
49,3,"hgo",13,2,14,296,2,2,14,0.605985157862381
50,3,"hgo",13,2,14,123,2,2,14,0.605985157862381
51,3,"hgo",13,2,14,180,2,2,14,0.605985157862381
52,3,"hgo",13,2,14,1287,2,2,14,0.605985157862381
53,3,"hgo",13,2,14,2616,2,2,14,0.605985157862381
54,3,"hgo",13,2,14,1967,2,2,14,0.605985157862381
55,3,"hgo",13,2,14,1578,2,2,14,0.605985157862381
56,3,"hgo",13,2,14,445,2,2,14,0.605985157862381
57,3,"hgo",13,2,14,855,2,2,14,0.605985157862381
58,3,"hgo",13,2,14,716,2,2,14,0.605985157862381
59,3,"hgo",13,2,14,1891,2,2,14,0.605985157862381
60,3,"hgo",13,2,14,1903,2,2,14,0.605985157862381
61,3,"hgo",13,2,14,1081,2,2,14,0.605985157862381
62,3,"hgo",13,2,14,3163,2,2,14,0.605985157862381
63,3,"hgo",13,2,14,839,2,2,14,0.605985157862381
64,3,"hgo",13,2,14,825,2,2,14,0.605985157862381
65,3,"hgo",13,2,14,1434,2,2,14,0.605985157862381
66,3,"hgo",13,2,14,1822,2,2,14,0.605985157862381
67,3,"hgo",13,2,14,2712,2,2,14,0.605985157862381
68,3,"hgo",13,2,14,1631,2,2,14,0.605985157862381
69,4,"hgo",13,1,10,3197,8,1,10,0.442706274669176
70,4,"hgo",13,1,10,181,8,1,10,0.442706274669176
71,4,"hgo",13,1,10,300,8,1,10,0.442706274669176
72,4,"hgo",13,1,10,696,8,1,10,0.442706274669176
73,4,"hgo",13,1,10,424,8,1,10,0.442706274669176
74,4,"hgo",13,1,10,423,8,1,10,0.442706274669176
75,4,"hgo",13,1,10,337,8,1,10,0.442706274669176
76,4,"hgo",13,1,10,154,8,1,10,0.442706274669176
77,4,"hgo",13,1,10,1093,8,1,10,0.442706274669176
78,4,"hgo",13,1,10,904,8,1,10,0.442706274669176
79,4,"hgo",13,1,10,1332,8,1,10,0.442706274669176
80,4,"hgo",13,1,10,484,8,1,10,0.442706274669176
81,5,"hgo",13,3,5,2062,2,3,14,0.221011134840365
82,5,"hgo",13,3,5,1473,2,3,14,0.221011134840365
83,5,"hgo",13,3,5,2088,2,3,14,0.221011134840365
84,5,"hgo",13,3,5,1555,2,3,14,0.221011134840365
85,5,"hgo",13,3,5,1639,2,3,14,0.221011134840365
86,5,"hgo",13,3,5,2565,2,3,14,0.221011134840365
87,5,"hgo",13,3,5,286,2,3,14,0.221011134840365
88,5,"hgo",13,3,5,3228,2,3,14,0.221011134840365
89,5,"hgo",13,3,5,1249,2,3,14,0.221011134840365
90,5,"hgo",13,3,5,531,2,3,14,0.221011134840365
91,5,"hgo",13,3,5,378,2,3,14,0.221011134840365
92,6,"hgo",13,4,16,2564,6,4,6,0.700472298978972
93,6,"hgo",13,4,16,1162,6,4,6,0.700472298978972
94,6,"hgo",13,4,16,551,6,4,6,0.700472298978972
95,6,"hgo",13,4,16,829,6,4,6,0.700472298978972
96,6,"hgo",13,4,16,606,6,4,6,0.700472298978972
97,6,"hgo",13,4,16,1060,6,4,6,0.700472298978972
98,6,"hgo",13,4,16,165,6,4,6,0.700472298978972
99,6,"hgo",13,4,16,1615,6,4,6,0.700472298978972
100,6,"hgo",13,4,16,1252,6,4,6,0.700472298978972
101,6,"hgo",13,4,16,1828,6,4,6,0.700472298978972
102,6,"hgo",13,4,16,453,6,4,6,0.700472298978972
103,6,"hgo",13,4,16,995,6,4,6,0.700472298978972
104,6,"hgo",13,4,16,1023,6,4,6,0.700472298978972
105,6,"hgo",13,4,16,478,6,4,6,0.700472298978972
106,6,"hgo",13,4,16,1010,6,4,6,0.700472298978972
107,6,"hgo",13,4,16,798,6,4,6,0.700472298978972
108,6,"hgo",13,4,16,597,6,4,6,0.700472298978972
109,6,"hgo",13,4,16,443,6,4,6,0.700472298978972
110,6,"hgo",13,4,16,216,6,4,6,0.700472298978972
111,6,"hgo",13,4,16,1154,6,4,6,0.700472298978972
112,6,"hgo",13,4,16,197,6,4,6,0.700472298978972
113,6,"hgo",13,4,16,350,6,4,6,0.700472298978972
114,7,"hgo",13,10,11,2261,5,10,11,0.303233084403132
115,7,"hgo",13,10,11,2201,5,10,11,0.303233084403132
116,7,"hgo",13,10,11,207,5,10,11,0.303233084403132
117,7,"hgo",13,10,11,501,5,10,11,0.303233084403132
118,7,"hgo",13,10,11,318,5,10,11,0.303233084403132
119,7,"hgo",13,10,11,646,5,10,11,0.303233084403132
120,7,"hgo",13,10,11,250,5,10,11,0.303233084403132
121,7,"hgo",13,10,11,1065,5,10,11,0.303233084403132
122,7,"hgo",13,10,11,952,5,10,11,0.303233084403132
123,7,"hgo",13,10,11,510,5,10,11,0.303233084403132
124,7,"hgo",13,10,11,777,5,10,11,0.303233084403132
125,7,"hgo",13,10,11,551,5,10,11,0.303233084403132
126,7,"hgo",13,10,11,114,5,10,11,0.303233084403132
127,8,"hgo",13,10,11,7104,5,10,11,0.303233084403132
128,8,"hgo",13,10,11,1592,5,10,11,0.303233084403132
129,8,"hgo",13,10,11,3893,5,10,11,0.303233084403132
130,8,"hgo",13,10,11,1910,5,10,11,0.303233084403132
131,8,"hgo",13,10,11,1395,5,10,11,0.303233084403132
132,8,"hgo",13,10,11,851,5,10,11,0.303233084403132
133,8,"hgo",13,10,11,1086,5,10,11,0.303233084403132
134,8,"hgo",13,10,11,2032,5,10,11,0.303233084403132
135,8,"hgo",13,10,11,3443,5,10,11,0.303233084403132
136,8,"hgo",13,10,11,1508,5,10,11,0.303233084403132
137,8,"hgo",13,10,11,2269,5,10,11,0.303233084403132
138,8,"hgo",13,10,11,2336,5,10,11,0.303233084403132
139,8,"hgo",13,10,11,722,5,10,11,0.303233084403132
140,8,"hgo",13,10,11,346,5,10,11,0.303233084403132
141,8,"hgo",13,10,11,386,5,10,11,0.303233084403132
142,8,"hgo",13,10,11,676,5,10,11,0.303233084403132
143,8,"hgo",13,10,11,2864,5,10,11,0.303233084403132
144,8,"hgo",13,10,11,843,5,10,11,0.303233084403132
145,8,"hgo",13,10,11,961,5,10,11,0.303233084403132
146,8,"hgo",13,10,11,1935,5,10,11,0.303233084403132
147,8,"hgo",13,10,11,1159,5,10,11,0.303233084403132
148,8,"hgo",13,10,11,1906,5,10,11,0.303233084403132
149,8,"hgo",13,10,11,410,5,10,11,0.303233084403132
150,8,"hgo",13,10,11,754,5,10,11,0.303233084403132
151,8,"hgo",13,10,11,1109,5,10,11,0.303233084403132
152,9,"hgo",13,6,5,2696,3,6,5,0.853391707549318
153,9,"hgo",13,6,5,4000,3,6,5,0.853391707549318
154,9,"hgo",13,6,5,2446,3,6,5,0.853391707549318
155,9,"hgo",13,6,5,2905,3,6,5,0.853391707549318
156,9,"hgo",13,6,5,3169,3,6,5,0.853391707549318
157,9,"hgo",13,6,5,2971,3,6,5,0.853391707549318
158,9,"hgo",13,6,5,3215,3,6,5,0.853391707549318
159,9,"hgo",13,6,5,1049,3,6,5,0.853391707549318
160,9,"hgo",13,6,5,1068,3,6,5,0.853391707549318
161,9,"hgo",13,6,5,3702,3,6,5,0.853391707549318
162,10,"hgo",13,7,13,2734,16,7,13,0.327451216770549
163,10,"hgo",13,7,13,1841,16,7,13,0.327451216770549
164,10,"hgo",13,7,13,599,16,7,13,0.327451216770549
165,10,"hgo",13,7,13,1582,16,7,13,0.327451216770549
166,10,"hgo",13,7,13,1068,16,7,13,0.327451216770549
167,10,"hgo",13,7,13,185,16,7,13,0.327451216770549
168,10,"hgo",13,7,13,1031,16,7,13,0.327451216770549
169,10,"hgo",13,7,13,748,16,7,13,0.327451216770549
170,10,"hgo",13,7,13,1099,16,7,13,0.327451216770549
171,10,"hgo",13,7,13,1721,16,7,13,0.327451216770549
172,10,"hgo",13,7,13,653,16,7,13,0.327451216770549
173,10,"hgo",13,7,13,638,16,7,13,0.327451216770549
174,10,"hgo",13,7,13,1050,16,7,13,0.327451216770549
175,10,"hgo",13,7,13,1296,16,7,13,0.327451216770549
176,10,"hgo",13,7,13,1086,16,7,13,0.327451216770549
177,10,"hgo",13,7,13,1371,16,7,13,0.327451216770549
178,11,"hgo",13,8,18,2786,1,8,9,0.22602435987
179,11,"hgo",13,8,18,986,1,8,9,0.22602435987
180,11,"hgo",13,8,18,1343,1,8,9,0.22602435987
181,11,"hgo",13,8,18,1791,1,8,9,0.22602435987
182,11,"hgo",13,8,18,269,1,8,9,0.22602435987
183,11,"hgo",13,8,18,261,1,8,9,0.22602435987
184,11,"hgo",13,8,18,981,1,8,9,0.22602435987
185,11,"hgo",13,8,18,147,1,8,9,0.22602435987
186,11,"hgo",13,8,18,404,1,8,9,0.22602435987
187,11,"hgo",13,8,18,1336,1,8,9,0.22602435987
188,11,"hgo",13,8,18,539,1,8,9,0.22602435987
189,11,"hgo",13,8,18,539,1,8,9,0.22602435987
190,11,"hgo",13,8,18,598,1,8,9,0.22602435987
191,11,"hgo",13,8,18,1716,1,8,9,0.22602435987
