"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E3"
1,1,32,"zac",3,5,2,2,14,14,"tlaltenango",1,32,1,1,1,7,1,7,1,0,15,0.507
2,1,32,"zac",3,5,2,2,14,14,"tlaltenango",2,32,1,1,1,7,1,7,1,0,15,0.507
3,1,32,"zac",3,5,2,2,14,14,"tlaltenango",3,32,1,1,1,7,1,7,1,0,15,0.507
4,1,32,"zac",3,5,2,2,14,14,"tlaltenango",4,32,1,1,1,7,1,7,1,0,15,0.507
5,1,32,"zac",3,5,2,2,14,14,"tlaltenango",5,32,1,1,1,7,1,7,1,0,15,0.507
6,1,32,"zac",3,5,2,2,14,14,"tlaltenango",6,32,1,1,1,7,1,7,1,0,15,0.507
7,1,32,"zac",3,5,2,2,14,14,"tlaltenango",7,32,1,1,1,7,1,7,1,0,15,0.507
8,1,32,"zac",3,5,2,2,14,14,"tlaltenango",8,32,1,1,1,7,1,7,1,0,15,0.507
9,1,32,"zac",3,5,2,2,14,14,"tlaltenango",9,32,1,1,1,7,1,7,1,0,15,0.507
10,1,32,"zac",3,5,2,2,14,14,"tlaltenango",10,32,1,1,1,7,1,7,1,0,15,0.507
11,1,32,"zac",3,5,2,2,14,14,"tlaltenango",11,32,1,1,1,7,1,7,1,0,15,0.507
12,1,32,"zac",3,5,2,2,14,14,"tlaltenango",12,32,1,1,1,7,1,7,1,0,15,0.507
13,1,32,"zac",3,5,2,2,14,14,"tlaltenango",13,32,1,1,1,7,1,7,1,0,15,0.507
14,2,32,"zac",3,5,2,2,13,14,"jalpa",14,32,2,4,4,2,1,2,0,0,10,0.426
15,2,32,"zac",3,5,2,2,13,14,"jalpa",15,32,2,4,4,2,1,2,0,0,10,0.426
16,2,32,"zac",3,5,2,2,13,14,"jalpa",16,32,2,4,4,2,1,2,0,0,10,0.426
17,2,32,"zac",3,5,2,2,13,14,"jalpa",17,32,2,4,4,2,1,2,0,0,10,0.426
18,2,32,"zac",3,5,2,2,13,14,"jalpa",18,32,2,4,4,2,1,2,0,0,10,0.426
19,2,32,"zac",3,5,2,2,13,14,"jalpa",19,32,2,4,4,2,1,2,0,0,10,0.426
20,2,32,"zac",3,5,2,2,13,14,"jalpa",20,32,2,4,4,2,1,2,0,0,10,0.426
21,2,32,"zac",3,5,2,2,13,14,"jalpa",21,32,2,4,4,2,1,2,0,0,10,0.426
22,3,32,"zac",3,5,2,2,14,15,"tlaltenango",22,32,3,1,1,7,18,7,0,0,15,0.507
23,3,32,"zac",3,5,2,2,14,15,"tlaltenango",23,32,3,1,1,7,18,7,0,0,15,0.507
24,3,32,"zac",3,5,2,2,14,15,"tlaltenango",24,32,3,1,1,7,18,7,0,0,15,0.507
25,3,32,"zac",3,5,2,2,14,15,"tlaltenango",25,32,3,1,1,7,18,7,0,0,15,0.507
26,3,32,"zac",3,5,2,2,14,15,"tlaltenango",26,32,3,1,1,7,18,7,0,0,15,0.507
27,3,32,"zac",3,5,2,2,14,15,"tlaltenango",27,32,3,1,1,7,18,7,0,0,15,0.507
28,3,32,"zac",3,5,2,2,14,15,"tlaltenango",28,32,3,1,1,7,18,7,0,0,15,0.507
29,3,32,"zac",3,5,2,2,14,15,"tlaltenango",29,32,3,1,1,7,18,7,0,0,15,0.507
