"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2010","X","edon.y","munn.y","escenario1","escenario2","escenario3","clv1","pan_cnv2","esc1_CLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
51,2,10,"dgo",3,1,1,1,1,8,48,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
52,2,10,"dgo",3,1,1,1,1,8,49,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
53,2,10,"dgo",3,1,1,1,1,8,50,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
54,2,10,"dgo",3,1,1,1,1,8,51,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
55,2,10,"dgo",3,1,1,1,1,8,52,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
56,2,10,"dgo",3,1,1,1,1,8,53,10,2,2,1,1,1,1,0,1,7,0.538,0.538,2,1
57,3,10,"dgo",4,3,3,3,4,16,54,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
58,3,10,"dgo",4,3,3,3,4,16,55,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
59,3,10,"dgo",4,3,3,3,4,16,56,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
60,3,10,"dgo",4,3,3,3,4,16,57,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
61,3,10,"dgo",4,3,3,3,4,16,58,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
62,3,10,"dgo",4,3,3,3,4,16,59,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
63,3,10,"dgo",4,3,3,3,4,16,60,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
64,3,10,"dgo",4,3,3,3,4,16,61,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
65,3,10,"dgo",4,3,3,3,4,16,62,10,3,7,4,4,4,4,0,1,8,0.384,0.384,7,1
66,4,10,"dgo",4,3,3,3,6,15,63,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
67,4,10,"dgo",4,3,3,3,6,15,64,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
68,4,10,"dgo",4,3,3,3,6,15,65,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
69,4,10,"dgo",4,3,3,3,6,15,66,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
70,4,10,"dgo",4,3,3,3,6,15,67,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
72,4,10,"dgo",4,3,3,3,6,15,68,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
73,4,10,"dgo",4,3,3,3,6,15,69,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
74,4,10,"dgo",4,3,3,3,6,15,70,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
75,4,10,"dgo",4,3,3,3,6,15,71,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
76,4,10,"dgo",4,3,3,3,6,15,72,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
77,4,10,"dgo",4,3,3,3,6,15,73,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
78,4,10,"dgo",4,3,3,3,6,15,74,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
79,4,10,"dgo",4,3,3,3,6,15,75,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
80,4,10,"dgo",4,3,3,3,6,15,76,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
81,4,10,"dgo",4,3,3,3,6,15,77,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
82,4,10,"dgo",4,3,3,3,6,15,78,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
83,4,10,"dgo",4,3,3,3,6,15,79,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
84,4,10,"dgo",4,3,3,3,6,15,80,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
85,4,10,"dgo",4,3,3,3,6,15,81,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
86,4,10,"dgo",4,3,3,3,6,15,82,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
87,4,10,"dgo",4,3,3,3,6,15,83,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
88,4,10,"dgo",4,3,3,3,6,15,84,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
89,4,10,"dgo",4,3,3,3,6,15,85,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
90,4,10,"dgo",4,3,3,3,6,15,86,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
91,4,10,"dgo",4,3,3,3,6,15,87,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
92,4,10,"dgo",4,3,3,3,6,15,88,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
93,4,10,"dgo",4,3,3,3,6,15,89,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
94,4,10,"dgo",4,3,3,3,6,15,90,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
95,4,10,"dgo",4,3,3,3,6,15,91,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
96,4,10,"dgo",4,3,3,3,6,15,92,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
97,4,10,"dgo",4,3,3,3,6,15,93,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
99,4,10,"dgo",4,3,3,3,6,15,94,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
100,4,10,"dgo",4,3,3,3,6,15,95,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
101,4,10,"dgo",4,3,3,3,6,15,96,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
102,4,10,"dgo",4,3,3,3,6,15,97,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
103,4,10,"dgo",4,3,3,3,6,15,98,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
104,4,10,"dgo",4,3,3,3,6,15,99,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
105,4,10,"dgo",4,3,3,3,6,15,100,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
106,4,10,"dgo",4,3,3,3,6,15,101,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
107,4,10,"dgo",4,3,3,3,6,15,102,10,4,1,6,6,6,6,0,1,15,0.323,0.325,1,0.992
108,5,10,"dgo",1,4,4,4,11,2,103,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
109,5,10,"dgo",1,4,4,4,12,2,104,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
111,5,10,"dgo",1,4,4,4,12,2,105,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
112,5,10,"dgo",1,4,4,4,12,2,106,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
113,5,10,"dgo",1,4,4,4,12,2,107,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
114,5,10,"dgo",1,4,4,4,12,2,108,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
115,5,10,"dgo",1,4,4,4,12,2,109,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
116,5,10,"dgo",1,4,4,4,12,2,110,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
117,5,10,"dgo",1,4,4,4,12,2,111,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
118,5,10,"dgo",1,4,1,4,11,2,112,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
119,5,10,"dgo",1,4,1,4,11,2,113,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
120,5,10,"dgo",1,4,1,4,11,2,114,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
121,5,10,"dgo",1,4,4,4,11,2,115,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
122,5,10,"dgo",1,4,4,4,11,1,116,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
123,5,10,"dgo",1,4,1,4,11,1,117,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
124,5,10,"dgo",1,4,4,4,11,1,118,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
125,5,10,"dgo",1,4,1,4,11,1,119,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
126,5,10,"dgo",1,4,4,4,11,1,120,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
127,5,10,"dgo",1,4,4,4,11,1,121,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
128,5,10,"dgo",1,4,4,4,11,1,122,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
129,5,10,"dgo",1,4,4,4,11,1,123,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
130,5,10,"dgo",1,4,1,4,11,1,124,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
131,5,10,"dgo",1,4,1,4,11,1,125,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
132,5,10,"dgo",1,4,1,4,11,1,126,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
133,5,10,"dgo",1,4,1,4,11,1,127,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
