"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
31,4,19,26,24,1025,2,4,0,1,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
32,4,19,26,24,1981,2,4,0,1,1,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
33,4,19,26,24,1390,2,4,0,1,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
34,4,19,26,24,968,2,4,0,1,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
35,4,19,26,24,428,2,4,0,1,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
36,4,19,26,24,356,2,4,0,1,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
37,4,19,26,24,602,2,4,0,1,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
38,4,19,26,24,696,2,4,0,1,1,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
39,5,19,21,21,16,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
40,5,19,21,21,473,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
