"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,16,14,19,1889,5,14,0,1,1,0,1,0,186652,4319681,0,1.08871708403904,0.964290274593004,15,0.775,4,0.418,0.163,0.837,0.149,0.11,0.415,0.476,15,0.726,4,0.355
11,2,16,10,21,2596,8,10,0,1,1,0,0,0,167855,4319681,0,1.26196648764116,1.07227492975088,21,0.747,8,0.747,0.098,0.903,0.211,0.013,0.338,0.649,21,0.802,8,0.802
26,3,16,12,8,1894,9,12,0,1,1,0,0,0,167583,4319681,0,0.878802730023257,1.0740153138047,8,0.488,9,0.488,0.197,0.803,0.162,0.069,0.431,0.5,8,0.36,9,0.36
38,4,16,9,2,1073,13,9,1,0,0,0,0,0,187393,4319681,0,1.13906266151097,0.960477223446625,2,0.581,13,0.581,0.297,0.703,0.135,0.082,0.268,0.649,2,0.49,13,0.49
52,5,16,2,13,986,14,2,1,0,0,0,1,0,189009,4319681,0,0.952265280136572,0.952265280136572,3,0.928,16,0.825,0.402,0.598,0.075,0.016,0.516,0.468,3,0.904,16,0.828
58,6,16,11,23,2653,3,11,1,0,0,0,0,1,171913,4319681,0,1.21265232262527,1.04696391973459,23,0.838,3,0.838,0.538,0.462,0.077,0,0.232,0.768,23,0.814,3,0.814
132,7,16,8,3,1459,15,8,0,1,1,0,1,0,179574,4319681,0,1.00229826329721,1.00229826329721,18,0.227,14,0.928,0.113,0.887,0.148,0.065,0.143,0.792,18,0.281,14,0.904
170,10,16,16,22,2906,3,16,0,1,1,0,0,1,175471,4319681,0,1.19454390494268,1.02573478428534,23,0.838,6,0.568,0.233,0.767,0.155,0,0.247,0.753,23,0.814,6,0.592
184,11,16,1,4,1475,11,1,1,0,0,0,1,0,183307,4319681,0,0.890767543642584,0.981886716455636,4,0.906,11,0.906,0.667,0.333,0.07,0.405,0.206,0.389,4,0.918,11,0.918
213,13,16,6,18,3422,4,6,0,1,1,0,0,1,176760,4319681,0,1.2973230524902,1.0182547427774,18,0.325,4,0.325,0.075,0.925,0.129,0,0.419,0.581,18,0.384,4,0.384
257,16,16,4,7,875,10,4,0,1,1,0,0,1,188737,4319681,0,0.984814722608274,0.953637645683323,7,0.215,7,0.318,0.518,0.481,0.114,0.085,0.217,0.698,7,0.248,7,0.289
305,19,16,15,9,1362,2,15,1,0,0,0,0,0,182345,4319681,0,1.0251388786051,0.987066869578729,9,0.582,2,0.582,0.413,0.587,0.119,0.414,0.299,0.287,9,0.584,2,0.584
361,23,16,15,5,744,2,15,1,0,0,0,0,0,182345,4319681,0,0.89154411157673,0.987066869578729,9,0.582,7,0.333,0.429,0.572,0.182,0.313,0.388,0.299,9,0.584,7,0.293
411,28,16,5,1,1178,13,5,0,1,1,0,1,0,190178,4319681,0,0.931777021372057,0.94641182646433,2,0.581,1,0.697,0.435,0.565,0.081,0.321,0.358,0.321,2,0.49,1,0.601
457,32,16,4,15,2060,10,4,0,1,1,0,1,0,188737,4319681,0,0.840576249787894,0.953637645683323,7,0.215,5,0.775,0.333,0.667,0.156,0.078,0.097,0.825,7,0.248,5,0.726
480,34,16,3,12,6009,12,3,1,0,0,1,0,0,191995,4319681,0,0.939451572044728,0.937455185464899,12,0.613,12,0.613,0.172,0.828,0.166,0.33,0.291,0.379,12,0.601,12,0.601
806,50,16,18,24,10135,18,18,1,0,0,0,0,1,178818,4319681,0,1.00653574211396,1.00653574211396,24,1,18,1,0.736,0.264,0.097,0.018,0.055,0.927,24,1,18,1
941,54,16,20,10,1544,22,20,1,0,0,0,0,0,181589,4319681,0,0.91746164642155,0.991176273526113,16,0.275,22,0.271,0.803,0.197,0.026,0.448,0.414,0.138,16,0.397,22,0.307
962,54,16,21,11,1116,22,21,1,0,0,1,0,0,182274,4319681,0,1.18934210207511,0.987451355285632,16,0.275,20,0.711,0.968,0.032,0.011,0.886,0.114,0,16,0.397,20,0.664
1043,54,16,19,17,358,21,19,1,0,0,1,0,0,182948,4319681,0,1.14666047636643,0.9838134788756,17,0.54,21,0.54,0.863,0.137,0.021,0.878,0.041,0.081,17,0.631,21,0.631
1046,54,16,19,16,412,22,19,1,0,0,1,0,0,182948,4319681,0,0.838836859038591,0.9838134788756,16,0.275,22,0.275,0.789,0.21,0.063,0.771,0.125,0.104,16,0.397,22,0.397
1349,59,16,11,20,3297,8,11,0,1,1,0,1,0,171913,4319681,0,0.799457698161704,1.04696391973459,21,0.747,24,0.557,0.69,0.31,0.05,0.432,0.216,0.351,21,0.802,24,0.433
1440,66,16,4,14,3146,10,4,1,0,0,0,0,1,188737,4319681,0,1.04502478246396,0.953637645683323,7,0.215,23,0.548,0.727,0.273,0.081,0.382,0.039,0.579,7,0.248,23,0.584
2436,109,16,17,6,2485,17,17,1,0,0,1,0,0,186116,4319681,0,0.96706735763359,0.96706735763359,6,1,17,1,0.769,0.231,0.077,0.875,0.036,0.089,6,1,17,1
