"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
31,1,1,13,10,1170,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
32,1,1,13,10,1498,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
33,1,1,13,6,1036,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
34,1,1,13,10,967,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
35,1,1,13,10,2719,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
36,1,1,13,10,1016,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
37,1,1,13,10,1250,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
38,1,1,13,10,1499,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
39,1,1,13,10,969,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
40,1,1,10,10,1473,10,10,1,0,0,1,0,0,65757,1160287,0,0.96513481095523,0.980281778196829,17,0.674,13,0.572,0.867,0.133,0.044,0.974,0.026,0,17,0.671,13,0.458
41,1,1,11,6,4718,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
42,1,1,11,6,1302,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
43,1,1,11,6,2230,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
44,1,1,11,6,5206,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
45,1,1,11,6,1848,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
46,1,1,11,6,2197,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
47,1,1,11,6,4267,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
48,1,1,11,6,2384,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
49,1,1,11,6,1776,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
50,1,1,11,6,1885,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
51,1,1,11,6,1243,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
52,1,1,11,6,1334,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
53,1,1,11,6,1704,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
54,1,1,11,6,1278,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
55,1,1,11,6,1197,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
56,1,1,11,11,1097,11,11,1,0,0,1,0,0,65516,1160287,0,0.97894192429251,0.983887735650664,6,0.605,12,0.723,1,0,0,0.867,0.133,0,6,0.426,12,0.779
57,1,1,12,11,946,12,12,1,0,0,1,0,0,66370,1160287,0,0.97894192429251,0.971227797030117,11,0.723,12,0.723,1,0,0,0.867,0.133,0,11,0.779,12,0.779
