"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,14,2,3,1998,3,2,0,1,1,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,3,0.318,3,0.318,0.276,0.724,0.193,0.861,0.139,0,3,0.256,3,0.256
13,2,14,4,17,2431,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.29,9,0.127,0.308,0.692,0.204,0.386,0.598,0.016,18,0.352,9,0.176
24,3,14,3,1,2618,8,3,0,1,1,0,1,0,354010,7224159,0,1.02033261772266,1.02033261772266,18,0.29,2,0.562,0.222,0.778,0.218,0.338,0.656,0.006,18,0.352,2,0.584
36,4,14,5,19,1127,4,5,1,0,0,0,0,0,358489,7224159,0,1.01969316718986,1.00758447260585,18,0.334,9,0.603,0.4,0.6,0.148,0.231,0.763,0.006,18,0.293,9,0.603
48,6,14,4,18,3485,8,4,1,0,0,0,1,0,356397,7224159,0,1.00625118396274,1.01349885100043,18,0.29,8,0.29,0.382,0.618,0.145,0.395,0.599,0.007,18,0.352,8,0.352
149,11,14,4,5,983,6,4,0,1,1,1,0,0,356397,7224159,0,0.945818146111547,1.01349885100043,5,0.749,6,0.749,0.309,0.691,0.174,0.273,0.655,0.073,5,0.673,6,0.673
161,13,14,8,15,1248,7,8,0,1,1,0,0,0,355496,7224159,0,1.01606755068974,1.01606755068974,15,0.463,7,0.463,0.33,0.67,0.161,0.467,0.516,0.016,15,0.481,7,0.481
501,36,14,9,2,5485,5,9,0,1,1,0,0,0,376590,7224159,0,0.959154385405879,0.959154385405879,2,0.778,5,0.778,0.301,0.699,0.169,0.69,0.302,0.008,2,0.757,5,0.757
570,41,14,13,12,693,14,13,1,0,0,1,0,0,372514,7224159,0,1.53814162344465,0.969649328615837,8,0.398,14,0.218,1,0,0,0.962,0.038,0,8,0.364,14,0.283
633,41,14,12,9,1303,12,12,1,0,0,0,0,0,372585,7224159,0,1.37330460305451,0.969464551713032,9,0.675,12,0.675,1,0,0,0.227,0.773,0,9,0.682,12,0.682
640,41,14,12,11,1523,12,12,1,0,0,0,0,0,372585,7224159,0,1.41410610260265,0.969464551713032,9,0.675,13,0.409,1,0,0,0.195,0.805,0,9,0.682,13,0.368
731,41,14,11,13,1863,13,11,1,0,0,0,0,0,374555,7224159,0,1.49425580500639,0.964365580488847,13,0.451,13,0.451,1,0,0,0.244,0.756,0,13,0.443,13,0.443
793,41,14,10,14,1657,11,10,1,0,0,1,0,0,374655,7224159,0,1.45361161414946,0.964108179525163,14,0.663,11,0.663,1,0,0,0.75,0.25,0,14,0.646,11,0.646
1087,41,14,13,8,3015,14,13,1,0,0,1,0,0,372514,7224159,0,1.44021734363101,0.969649328615837,8,0.398,14,0.398,1,0,0,0.716,0.284,0,8,0.364,14,0.364
2024,72,14,2,7,21175,1,2,0,1,1,1,0,0,367882,7224159,0,0.490095791808851,0.981858177350346,17,0.261,10,0.512,0.581,0.419,0.171,0.536,0.464,0,17,0.232,10,0.564
2473,99,14,14,16,1791,20,14,1,0,0,0,0,0,376499,7224159,0,0.868081754582443,0.959386213509199,16,0.474,20,0.474,0.985,0.014,0.007,0.452,0.548,0,16,0.57,20,0.57
2650,102,14,16,20,6516,19,16,1,0,0,0,1,0,358671,7224159,0,0.782663793495713,1.00707319521233,20,0.75,19,0.75,0.82,0.18,0.09,0.048,0.952,0,20,0.72,19,0.72
2900,120,14,19,10,1554,16,19,1,0,0,0,1,0,313514,7224159,0,1.03604553107638,1.15212701825118,6,0.549,15,0.611,1,0,0,0.805,0.195,0,6,0.515,15,0.671
2909,120,14,17,4,1749,17,17,1,0,0,0,1,0,369745,7224159,0,1.06939659766467,0.97691097918836,4,0.774,17,0.774,0.939,0.061,0.02,0.154,0.846,0,4,0.648,17,0.648
2966,120,14,19,6,4328,17,19,1,0,0,0,0,0,313514,7224159,0,0.752278341025342,1.15212701825118,4,0.774,16,0.549,0.856,0.144,0.059,0.222,0.778,0,4,0.648,16,0.515
