"seccion","munn","edon","disloc2018","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2010","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,20,1,3,1172,16,1,1,0,0,0,1,0,146529,3801727,0,2.19654605595759,1.03780876140559,3,0.421,16,0.421,0.241,0.759,0.259,0,0.882,0.118,3,0.661,16,0.661
2,2,20,2,25,977,13,2,0,1,1,0,1,0,151684,3801727,0,0.8919112247651,1.00253869887397,25,0.517,13,0.517,0.168,0.832,0.144,0,0.976,0.024,25,0.56,13,0.56
35,3,20,3,22,1644,3,3,1,0,0,0,0,0,153076,3801727,0,0.531488925936411,0.993422090987483,1,0.308,24,0.46,0.924,0.076,0.038,0.8,0.2,0,1,0.201,24,0.46
37,386,20,16,1,2249,3,16,0,1,1,0,0,0,153544,3801727,0,0.556080390249611,0.990394154118689,1,0.308,25,0.558,0.794,0.207,0.092,0.5,0.167,0.333,1,0.201,25,0.639
39,4,20,4,20,1156,17,4,0,1,1,0,0,0,138169,3801727,0,0.99006530160487,1.10060201637126,20,0.528,17,0.528,0.042,0.958,0.246,0,0.897,0.103,20,0.5,17,0.5
42,5,20,5,15,1012,14,5,0,1,1,1,0,0,154806,3801727,0,1.08141088457627,0.982320323501673,15,0.734,14,0.734,0.2,0.8,0.194,0.125,0.672,0.203,15,0.616,14,0.616
43,6,20,6,5,885,5,18,1,0,0,0,0,0,155758,3801727,0,1.59093037610504,0.976316336881573,6,0.431,5,0.229,0.337,0.663,0.245,0,0.75,0.25,6,0.369,5,0.279
57,7,20,7,16,3918,4,7,0,1,1,0,0,0,154799,3801727,0,2.45716584798345,0.982364743958294,17,0.172,4,0.245,0.073,0.927,0.333,0,0.759,0.241,17,0.214,4,0.257
65,8,20,3,19,1070,2,3,1,0,0,0,0,0,153076,3801727,0,1.17700526315789,0.993422090987483,4,0.378,23,0.269,0.32,0.68,0.24,0.059,0.735,0.206,4,0.301,23,0.304
68,9,20,8,4,540,20,10,1,0,0,0,1,0,130667,3801727,0,0.999277692717129,1.16379101073722,5,0.214,2,0.378,0.345,0.655,0.209,0.059,0.843,0.098,5,0.239,2,0.301
74,11,20,9,18,2003,22,9,1,0,0,0,1,0,148539,3801727,0,0.61822479337499,1.02376534108887,17,0.153,6,0.596,0.414,0.586,0.134,0.059,0.765,0.176,17,0.14,6,0.504
77,12,20,11,24,2816,20,10,0,1,1,0,0,0,164617,3801727,0,1.28358667026808,0.9237750657587,5,0.214,18,0.429,0.243,0.757,0.136,0.031,0.844,0.125,5,0.239,18,0.435
87,13,20,5,21,710,14,5,1,0,0,0,0,1,154806,3801727,0,1.42962376609946,0.982320323501673,15,0.734,8,0.396,0.144,0.856,0.16,0.023,0.386,0.591,15,0.616,8,0.331
90,14,20,10,8,2459,11,11,0,1,1,0,1,0,153803,3801727,0,0.762216641855756,0.988726357743347,8,0.694,11,0.694,0.055,0.945,0.26,0,0.929,0.071,8,0.725,11,0.725
97,15,20,11,23,1481,18,6,1,0,0,0,0,0,164617,3801727,0,0.807392139997664,0.9237750657587,24,0.429,15,0.631,0.461,0.539,0.221,0,0.909,0.091,24,0.435,15,0.606
104,16,20,12,13,1713,7,12,1,0,0,0,1,0,149726,3801727,0,1.33468859710715,1.01564911905748,13,0.593,7,0.593,0.051,0.949,0.331,0,0.422,0.578,13,0.585,7,0.585
113,18,20,13,10,1404,19,13,1,0,0,0,0,0,137250,3801727,0,1.23617318072446,1.10797143897996,7,0.462,19,0.189,0.079,0.921,0.263,0.14,0.721,0.14,7,0.395,19,0.276
125,21,20,7,14,334,1,7,0,1,1,0,1,0,154799,3801727,0,3.5432471224195,0.982364743958294,14,0.289,1,0.289,0.151,0.85,0.312,0,0.8,0.2,14,0.388,1,0.388
127,22,20,15,17,1518,4,15,0,1,1,0,0,0,156052,3801727,0,0.75733499340123,0.97447696921539,17,0.172,4,0.172,0.083,0.916,0.23,0,0.879,0.121,17,0.214,4,0.214
131,23,20,14,12,2747,8,14,0,1,1,0,0,0,155738,3801727,0,1.67521239094034,0.976441716215696,21,0.396,8,0.357,0.026,0.974,0.234,0,0.421,0.579,21,0.331,8,0.325
192,33,20,18,2,2822,16,21,0,1,1,0,0,0,142020,3801727,0,0.826880325381851,1.07075820306999,3,0.421,4,0.209,0.242,0.758,0.25,0.029,0.714,0.257,3,0.661,4,0.212
396,56,20,21,11,1451,10,19,0,1,1,0,0,0,178745,3801727,0,0.827375201989151,0.850759909368094,11,0.822,10,0.822,0.169,0.831,0.25,0,0.583,0.417,11,0.784,10,0.784
432,59,20,10,7,2299,19,11,0,1,1,0,0,0,153803,3801727,0,1.17604040029078,0.988726357743347,7,0.462,19,0.462,0.092,0.909,0.275,0.103,0.872,0.026,7,0.395,19,0.395
669,76,20,6,6,5561,5,18,1,0,0,0,0,0,155758,3801727,0,0.789444317544698,0.976316336881573,6,0.431,5,0.431,0.55,0.45,0.135,0,0.88,0.12,6,0.369,5,0.369
908,150,20,13,9,773,21,13,0,1,1,0,1,0,137250,3801727,0,1.01655890689342,1.10797143897996,9,0.955,21,0.955,0.14,0.861,0.323,0,0.913,0.087,9,0.939,21,0.939
