"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
31,1,27,6,1,229,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
32,1,27,6,1,362,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
33,1,27,6,1,544,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
34,1,27,6,1,456,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
35,1,27,6,1,1460,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
36,1,27,6,1,815,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
37,1,27,6,1,1709,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
38,1,27,6,1,1220,18,6,0,1,0,0,0,1,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
39,1,27,6,1,1223,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
40,1,27,6,1,1059,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
41,1,27,6,1,1144,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
42,1,27,6,1,2595,18,6,0,1,0,0,0,1,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
43,1,27,6,1,1397,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
44,1,27,6,1,1782,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
45,1,27,6,1,1589,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
46,2,27,3,19,1801,11,3,1,0,0,0,0,1,107630,2238350,0,0.789056322691199,0.990319569247378,2,0.776,9,0.577,0.365,0.635,0.108,0,0.185,0.815,2,0.828,9,0.581,4,4
47,2,27,3,19,8528,11,3,1,0,0,0,0,1,107630,2238350,0,0.789056322691199,0.990319569247378,2,0.776,9,0.577,0.365,0.635,0.108,0,0.185,0.815,2,0.828,9,0.581,4,4
48,2,27,3,2,2913,11,3,1,0,0,0,0,0,107630,2238350,0,0.926716009269023,0.990319569247378,2,0.776,11,0.776,0.804,0.196,0,0,0.143,0.857,2,0.828,11,0.828,3,3
49,2,27,3,2,1345,11,3,1,0,0,0,0,0,107630,2238350,0,0.926716009269023,0.990319569247378,2,0.776,11,0.776,0.804,0.196,0,0,0.143,0.857,2,0.828,11,0.828,3,3
