"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2005","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
32,1,18,1,18,422,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
33,1,18,1,18,1062,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
34,1,18,1,18,481,1,1,0,1,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
35,1,18,1,18,159,1,1,0,1,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
36,1,18,1,18,993,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
37,1,18,1,18,358,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
38,1,18,1,18,1248,1,1,1,0,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
39,1,18,1,18,1029,1,1,1,0,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
40,1,18,1,18,903,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
41,1,18,1,18,406,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
42,1,18,1,18,293,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
43,1,18,1,18,758,1,1,0,1,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
44,1,18,1,18,235,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
