"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
31,2,24,11,11,375,7,3,0,1,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
32,2,24,11,11,525,7,3,0,1,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
33,2,24,11,11,517,7,3,0,1,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
34,3,24,14,14,3325,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
35,3,24,14,14,964,5,4,0,1,1,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
36,3,24,14,14,1324,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
37,3,24,14,14,725,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
38,3,24,14,14,1177,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
39,3,24,14,14,2069,5,4,0,1,0,0,1,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
40,3,24,14,14,300,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
41,3,24,14,14,2040,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
42,3,24,14,14,1540,5,4,0,1,0,0,1,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
43,3,24,14,14,2655,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
44,3,24,14,14,2541,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
45,3,24,14,14,2853,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
46,3,24,14,14,2939,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
47,3,24,14,14,1626,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
48,3,24,14,14,3046,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
49,3,24,14,14,1940,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
